instance_id,n_vars,n_clauses,method,satisfiable,time_seconds,solution
109,12,60,BruteForce,S,5.441601388156414e-05,"{1: 1, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0}"
110,12,60,BruteForce,U,0.002877082908526063,{}
111,16,80,BruteForce,U,0.045897207921370864,{}
112,16,80,BruteForce,S,0.031035874970257282,"{1: 0, 2: 1, 3: 1, 4: 1, 5: 0, 6: 1, 7: 1, 8: 1, 9: 0, 10: 1, 11: 0, 12: 1, 13: 0, 14: 1, 15: 1, 16: 1}"
113,16,80,BruteForce,U,0.044983166037127376,{}
114,16,80,BruteForce,U,0.043987957993522286,{}
115,16,80,BruteForce,U,0.04112983285449445,{}
116,16,80,BruteForce,U,0.04630300006829202,{}
117,16,80,BruteForce,U,0.04659204091876745,{}
118,16,80,BruteForce,U,0.04134374996647239,{}
119,16,80,BruteForce,U,0.04457841697148979,{}
120,16,80,BruteForce,S,0.0366565000731498,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 1, 11: 1, 12: 1, 13: 1, 14: 0, 15: 1, 16: 1}"
121,18,90,BruteForce,U,0.18064312497153878,{}
122,18,90,BruteForce,U,0.17176308296620846,{}
123,18,90,BruteForce,U,0.207794250221923,{}
124,18,90,BruteForce,U,0.17465354106388986,{}
125,18,90,BruteForce,U,0.17750066611915827,{}
126,18,90,BruteForce,S,0.055957917124032974,"{1: 0, 2: 1, 3: 1, 4: 0, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0, 15: 0, 16: 0, 17: 1, 18: 0}"
127,18,90,BruteForce,S,0.002463707933202386,"{1: 1, 2: 0, 3: 1, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0, 12: 1, 13: 0, 14: 0, 15: 0, 16: 0, 17: 0, 18: 0}"
128,18,90,BruteForce,S,0.15828116587363183,"{1: 1, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 1, 8: 1, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 1, 15: 0, 16: 1, 17: 1, 18: 1}"
